input,ao,ap,cp
nói chung là cứ ăn steak mà có dư dả đạn thì mình sẽ tới ngay đây để ăn vì theo mình phục vụ ở đây rất okay không gian cũng okay không xô bồ tí nào,"{phục vụ,rất okay};{không gian,okay};{null,null}","{phục vụ,positive};{không gian,neutral};{null,positive}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,neutral};{RESTAURANT#GENERAL,positive}"
thực đơn khá đa dạng tuy giá cao nhưng đồ ăn rất chất lượng một phần nhiều quá trời num người ăn vẫn đủ,"{đồ ăn,chất lượng};{menu,đa dạng};{null,nhiều};{giá,cao}","{đồ ăn,positive};{menu,positive};{null,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
"gần công ty , cửa hàng chuyên matcha , giá dễ thở hơn morico , vị cũng ok , rõ mùi matcha , nhiều loại matcha biến tấu , không gian hơi nhỏ ,","{matcha,nhiều loại};{giá,dễ thở};{không gian,nhỏ};{null,gần công ty};{vị,ok}","{matcha,positive};{giá,positive};{không gian,negative};{null,neutral};{vị,neutral}","{DRINKS#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,negative};{LOCATION#GENERAL,neutral};{DRINKS#QUALITY,neutral}"
đồ uống thì tạm ổn chứ không ngon nhưng được cái nhân viên dễ thương,"{nhân viên,dễ thương};{đồ uống,tạm ổn}","{nhân viên,positive};{đồ uống,neutral}","{SERVICE#GENERAL,positive};{DRINKS#QUALITY,neutral}"
"piza ngon , nóng , giòn vừa , có độ dai và mềm , tuy nhiên phải đợi hơi lâu , không gian thoáng mát , phục vụ lịch sự , sẽ quay lại ,","{phục vụ,lịch sự};{pizza,ngon};{không gian,thoáng mát};{đợi,lâu};{pizza,giòn};{pizza,dai};{pizza,mềm}","{phục vụ,positive};{pizza,positive};{không gian,positive};{đợi,negative};{pizza,positive};{pizza,positive};{pizza,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#QUALITY,positive}"
mà đến rồi mới biết quán không như lời đồn nói thiệt tình không gian quán ở mức tạm được nhưng đồ ăn phải nói là rất ngon và đậm vị trung hoa giá cả thì rất hợp lý không hề mắc chút nào nếu so về vị trí,"{đồ ăn,ngon};{giá cả,hợp lý};{không gian,tạm đc};{đồ ăn,đậm vị}","{đồ ăn,positive};{giá cả,positive};{không gian,neutral};{đồ ăn,positive}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,neutral};{FOOD#QUALITY,positive}"
quán to dễ nhìn thấy không gian gọn gàng thoáng mát rất sạch sẽ món ăn món ăn ổn nhưng thời gian lên món lâu,"{thời gian lên món,lâu};{món ăn,ổn};{không gian,gọn gàng thoáng mát};{quán,to};{không gian,sạch sẽ}","{thời gian lên món,negative};{món ăn,neutral};{không gian,positive};{quán,positive};{không gian,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,positive};{RESTAURANT#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
đồ ăn cũng tạm nhưng giá khá chát .,"{đồ ăn,tạm};{giá,chát}","{đồ ăn,neutral};{giá,negative}","{FOOD#QUALITY,neutral};{FOOD#PRICES,negative}"
đồ ăn có thể không ngon lắm nhưng phục vụ tốt nhanh nhẹn,"{phục vụ,tốt nhanh nhẹn};{đồ ăn,không ngon}","{phục vụ,positive};{đồ ăn,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,negative}"
gọi thêm mì lạnh cay ăn cũng ok nhưng hơi ít,"{mì lạnh cay,ok};{mì lạnh cay,ít}","{mì lạnh cay,neutral};{mì lạnh cay,negative}","{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,negative}"
"quán nằm ngay trung tâm , giá cả củng không mắc lắm , không gian quán củng khá thoáng , nhân viên phục vụ nhanh nhẹn .","{nhân viên phục vụ,nhanh nhẹn};{giá cả,không mắc};{không gian,thoáng};{null,ngay trung tâm}","{nhân viên phục vụ,positive};{giá cả,neutral};{không gian,positive};{null,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,positive}"
không gian tuy hơi nhỏ nhưng có tấm ngăn làm nhiều khoảng không nhìn khá thoáng,"{không gian,nhỏ};{tấm ngăn,nhiều}","{không gian,negative};{tấm ngăn,positive}","{AMBIENCE#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,positive}"
"đồ ăn ngon , thức ăn khá bắt mắt , phục vụ tốt , tuy nhiên ăn ở đây về mùi ám hết vào người tốt","{phục vụ,tốt};{đồ ăn,ngon};{thức ăn,bắt mắt};{null,null}","{phục vụ,positive};{đồ ăn,positive};{thức ăn,positive};{null,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#MISCELLANEOUS,negative}"
"đồ ăn ở đây thì ngon khỏi nói , chỉ có điều đợi món hơi lâu","{đợi món,lâu};{đồ ăn,ngon}","{đợi món,negative};{đồ ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
"thịt bò ở đây ngon , mềm , nhưng giá thì hơi mắc , phục vụ nhanh nhẹn chu đáo , quán ở trong hẻm nên mình hơi khó tìm","{phục vụ,nhanh nhẹn chu đáo};{thịt bò,ngon};{giá,mắc};{null,khó tìm};{thịt bò,mềm}","{phục vụ,positive};{thịt bò,positive};{giá,negative};{null,negative};{thịt bò,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#PRICES,negative};{LOCATION#GENERAL,negative};{FOOD#STYLE&OPTIONS,positive}"
quán hơi nhỏ và không có nhiều chỗ để xe máy nhưng đồ ăn rất ngon,"{đồ ăn,ngon};{chỗ để xe máy,k có};{quán,nhỏ}","{đồ ăn,positive};{chỗ để xe máy,negative};{quán,negative}","{FOOD#QUALITY,positive};{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#GENERAL,negative}"
vê món ăn thì thực đơn nhiều món nhưng giá khá cao nếu so với những nơi khác mình từng đi thì ở đây không gọi là nhà hàng được chỉ bằng quán ăn gia đình thôi nhưng giá thì mắc gần bằng giá những chỗ nổi tiếng khác,"{menu,nhiều món};{giá,cao}","{menu,positive};{giá,negative}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
giá cả vừa phải nhưng đồ ăn hôm nay thật không đáng tiền,"{giá cả,vừa phải};{đồ ăn,k đáng tiền}","{giá cả,neutral};{đồ ăn,negative}","{RESTAURANT#PRICES,neutral};{FOOD#QUALITY,negative}"
nhà hàng nhỏ khá ít món giá mềm hơn các nhà hàng num khác nên cảm thấy chất lượng cũng không bằng,"{món,ít};{nhà hàng,nhỏ};{giá,mềm}","{món,negative};{nhà hàng,negative};{giá,positive}","{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,positive}"
"đồ ăn hơi ít nhưng ngon , chỗ ngồi thoáng mát , tối thứ tư có ca nhạc ,","{đồ ăn,ngon};{đồ ăn,ít};{ca nhạc,null};{chỗ ngồi,thoáng mát}","{đồ ăn,positive};{đồ ăn,negative};{ca nhạc,positive};{chỗ ngồi,positive}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative};{RESTAURANT#MISCELLANEOUS,positive};{AMBIENCE#GENERAL,positive}"
"ở đây cảnh quan đẹp , đồ ăn cũng được chứ không ngon lắm ! tổng hợp hình ảnh đi với gia đình và đi thôi noi","{đồ ăn,cũng được};{cảnh quan,đẹp}","{đồ ăn,neutral};{cảnh quan,positive}","{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,positive}"
không gian cũng ổn thực đơn đa dạng món giá không đắt so với chất lượng,"{menu,đa dạng món};{giá,không đắt};{không gian,ổn}","{menu,positive};{giá,neutral};{không gian,neutral}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,neutral}"
"thực đơn của quán ít món không có nhiều sự lựa chọn , không gian gần gũi với thiên nhiên","{menu,ít món};{ko gian,gần gũi với thiên nhiên}","{menu,negative};{ko gian,positive}","{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,positive}"
đồ ăn thì ngon nhưng phục vụ quá tệ và quay lại ăn mấy lần vẫn không thay đổi cách phục vụ chậm chạp,"{phục vụ,tệ};{đồ ăn,ngon};{phục vụ,chậm chạp}","{phục vụ,negative};{đồ ăn,positive};{phục vụ,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{SERVICE#GENERAL,negative}"
giá tiền người vị trí không gian nằm trên cao thắng đối diện với rạp chiếu phim cinemax cũ quán nhỏ và trang trí nhiều nên nhìn hơi tối khăn trải bàn màu đỏ ca rô nữa chớ,"{trang trí,tối};{null,null};{vị trí,null};{quán,nhỏ}","{trang trí,negative};{null,neutral};{vị trí,neutral};{quán,negative}","{AMBIENCE#GENERAL,negative};{RESTAURANT#PRICES,neutral};{LOCATION#GENERAL,neutral};{RESTAURANT#GENERAL,negative}"
đi ăn cũng nhiều nhà hàng thái nhưng ưng bụng ít chỗ lắm lạc thái ngon mà giá cao không gian không thoải mái tức tức ngày càng dở,"{lạc thái,ngon};{giá,cao};{không gian,không thoải mái};{tuk tuk,dở}","{lạc thái,positive};{giá,negative};{không gian,negative};{tuk tuk,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,negative};{RESTAURANT#GENERAL,negative}"
bánh canh ngon lắm nha num quả trứng cút có cả xương nữa cá thì dai dai đậm vị quẩy thì hơi ỉu tí vì vận chuyển cũng khá xa,"{bánh canh,ngon};{bánh canh,null};{cá,dai dai đậm vị};{quẩy,ỉu}","{bánh canh,positive};{bánh canh,neutral};{cá,positive};{quẩy,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,neutral};{FOOD#QUALITY,positive};{FOOD#QUALITY,negative}"
không gian sang trọng nhưng thái độ nhân viên như vậy cảm giác ăn cũng không ngon,"{thái độ nhân viên,null};{null,không ngon};{không gian,sang trọng}","{thái độ nhân viên,negative};{null,negative};{không gian,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,negative};{AMBIENCE#GENERAL,positive}"
nhưng bù lại thì các món ăn mình gọi đều ngon phát hờn luôn dù bưng ra hơi lâu,"{các món ăn,ngon};{bưng ra,lâu}","{các món ăn,positive};{bưng ra,negative}","{FOOD#QUALITY,positive};{SERVICE#GENERAL,negative}"
"quán ăn gia đình , thục đơn đa dạng , giá bình dân , ngon","{quán,null};{null,ngon};{thục đơn,đa dạng};{giá,bình dân}","{quán,neutral};{null,positive};{thục đơn,positive};{giá,positive}","{RESTAURANT#GENERAL,neutral};{RESTAURANT#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,positive}"
quán nhỏ nhưng ấm cúng giá cả hợp lý mình ăn cừu phomai rất ngon mềm điểm trừ là tên quán và bảng hiệu khuất khó tìm là số num tôn thất hiệp mà tìm hoài chẳng thấy số num đâu hết,"{cừu phomai,ngon mềm};{giá cả,hợp lý};{quán,ấm cúng};{null,null};{tên quán,khuất khó tìm};{quán,nhỏ};{bảng hiệu,khuất khó tìm}","{cừu phomai,positive};{giá cả,positive};{quán,positive};{null,negative};{tên quán,negative};{quán,negative};{bảng hiệu,negative}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,positive};{LOCATION#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,negative}"
trước hay ăn ở đây món ăn ở mức độ ổn giá thì khá rẻ nhưng lần này ăn có lẽ chất lượng đi xuống khá nhiều cơm cứng khô như là cơm sống gà chiên tẩm bột không có chút vị gì,"{giá,rẻ};{chất lượng,đi xuống};{cơm,cứng khô};{gà chiên tẩm bột,không có chút vị}","{giá,positive};{chất lượng,negative};{cơm,negative};{gà chiên tẩm bột,negative}","{FOOD#PRICES,positive};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative};{FOOD#QUALITY,negative}"
dịch vụ thì tạm ổn nhân viên hơi chậm một chút nhưng không gian đủ để sống ảo nhé,"{service,tạm ổn};{nhân viên,chậm};{không gian,null}","{service,neutral};{nhân viên,negative};{không gian,positive}","{SERVICE#GENERAL,neutral};{SERVICE#GENERAL,negative};{AMBIENCE#GENERAL,positive}"
"đồ ăn mình thấy bình thường , nước lẩu chưa thực sự đậm đà nhưng giá thành khá rẻ .","{đồ ăn,bình thường};{giá thành,rẻ};{nước lẩu,chưa thực sự đậm đà}","{đồ ăn,neutral};{giá thành,positive};{nước lẩu,negative}","{FOOD#QUALITY,neutral};{FOOD#PRICES,positive};{FOOD#QUALITY,negative}"
chân gà đây ăn cũng tạm vị lạ chân gà nhìn sạch sẽ bao bì đàng hoàng,"{chân gà,tạm};{chân gà,sạch sẽ};{vị,lạ};{bao bì,đàng hoàng}","{chân gà,neutral};{chân gà,positive};{vị,neutral};{bao bì,positive}","{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,positive};{FOOD#QUALITY,neutral};{RESTAURANT#MISCELLANEOUS,positive}"
đồ ăn ngon quang cảnh đẹp nhạc hay nhưng giá hơi chát và ít,"{đồ ăn,ngon};{giá,chát};{view,đẹp};{đồ ăn,ít};{nhạc,hay}","{đồ ăn,positive};{giá,negative};{view,positive};{đồ ăn,negative};{nhạc,positive}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{LOCATION#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative};{RESTAURANT#MISCELLANEOUS,positive}"
🍲 ấn tượng đầu khá tốt luôn vì đồ ăn ngon nồng nhưng vẫn dễ ăn,"{đồ ăn,ngon};{đồ ăn,dễ ăn};{đồ ăn,nồng}","{đồ ăn,positive};{đồ ăn,positive};{đồ ăn,neutral}","{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,neutral}"
"mình đặt đồ mang về món sushi trứng cá chuồn thối rình , giá cũng vừa phải nhưng mình thất vọng quán quá","{giá,vừa phải};{sushi trứng cá chuồn,thối rình};{quán,thất vọng}","{giá,neutral};{sushi trứng cá chuồn,negative};{quán,negative}","{FOOD#PRICES,neutral};{FOOD#QUALITY,negative};{RESTAURANT#GENERAL,negative}"
khá hơi cao không gian ấm áp sang vừa phải do món ăn trình bày đẹp ăn cũng ok chứ không gọi là ngon num riêng tôm hấp nước dừa thì ngọt ngào và chắc thịt lt num lẩu thái hải sản khá đậm đà,"{món ăn,okie};{món ăn trình bày,đẹp};{không gian,ấm áp sang};{tôm hấp nước dừa,ngọt ngào};{lẩu thái hải sản,đậm đà};{tôm hấp nước dừa,chắc thịt}","{món ăn,neutral};{món ăn trình bày,positive};{không gian,positive};{tôm hấp nước dừa,positive};{lẩu thái hải sản,positive};{tôm hấp nước dừa,positive}","{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#QUALITY,positive};{FOOD#QUALITY,positive}"
vị trí này thì quá đẹp và quá dễ tìm rồi chỉ tiếc là không có chỗ để xe,"{chỗ để xe,không có};{vị trí,đẹp};{vị trí,dễ tìm}","{chỗ để xe,negative};{vị trí,positive};{vị trí,positive}","{RESTAURANT#MISCELLANEOUS,negative};{LOCATION#GENERAL,positive};{LOCATION#GENERAL,positive}"
quán hải sản nổi tiếng trứ danh đà nẵng nằm tít trong ngõ sâu may mà còn có người chỉ đường cho không thì chắc là lạc mất luôn ạ,"{quán hải sản,tít trong ngõ sâu};{quán hải sản,nổi tiếng trứ danh}","{quán hải sản,neutral};{quán hải sản,positive}","{LOCATION#GENERAL,neutral};{RESTAURANT#GENERAL,positive}"
"không gian tuy nhỏ nhưng cách bày trí thoáng đãng màu sắc tươi sáng khiến khách hàng cảm thấy dễ chịu , phải nói là chất lượng ăn rất ok với giá cả như vậy","{không gian,nhỏ};{cách bày trí,thoáng đãng};{màu sắc,tươi sáng};{chất lượng,rất ok};{giá cả,null}","{không gian,negative};{cách bày trí,positive};{màu sắc,positive};{chất lượng,positive};{giá cả,neutral}","{AMBIENCE#GENERAL,negative};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#PRICES,neutral}"
hoàng yến bufet thì hoạt động lâu năm rồi thương hiệu cũng lớn nên giá cả cũng có hơi nhỉnh xíu mà chất lượng mình ăn bufet ở chi nhánh vạn hạnh mal thấy ok đó ăn vào ban tối nên cũng có hải sản,"{chất lượng,ok};{giá cả,nhỉnh};{vạn hạnh mall,null}","{chất lượng,neutral};{giá cả,negative};{vạn hạnh mall,neutral}","{FOOD#QUALITY,neutral};{RESTAURANT#PRICES,negative};{LOCATION#GENERAL,neutral}"
"ngon tuyệt vời giá cả cũng được , ăn rồi là thỉnh thoảng cứ thèm !","{null,ngon tuyệt vời};{giá cả,cũng được}","{null,positive};{giá cả,neutral}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,neutral}"
món ăn cũng khá ngon gia vị ở đây chưa ngon bằng nhà hàng thái trong sân bay tsn rất có phong cách của món thái thực đơn ở đay có thêm một số món ăn vặt tráng miệng khá hấp dẫn nhưng giá hơi cao,"{món ăn,ngon};{gia vị,chưa ngon};{phong cách,null};{menu,null};{món ăn vặt tráng miệng,hấp dẫn};{giá,cao}","{món ăn,positive};{gia vị,negative};{phong cách,positive};{menu,positive};{món ăn vặt tráng miệng,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,negative}"
không gian khá là rộng và thoáng nhé tốt giá cả nhìn chug giá cả cũng thuộc tầm mắc nhé,"{giá cả,mắc};{ko gian,rộng};{ko gian,thoáng}","{giá cả,negative};{ko gian,positive};{ko gian,positive}","{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
